date,state,death,deathIncrease,hospitalizedCurrently,inIcuCurrently,negative,negativeIncrease,positive,positiveCasesViral,positiveIncrease,totalTestResults,totalTestResultsIncrease,totalTestsViral,totalTestsViralIncrease
12/6/2020,CA,19876,85,10624,2393,23853346,262996,1341700,1341700,30075,25195046,293071,25195046,293071
12/5/2020,CA,19791,209,10273,2265,23590350,201429,1311625,1311625,25068,24901975,226497,24901975,226497
12/4/2020,CA,19582,145,9948,2248,23388921,178818,1286557,1286557,22018,24675478,200836,24675478,200836
12/3/2020,CA,19437,113,9702,2147,23210103,156925,1264539,1264539,18591,24474642,175516,24474642,175516
12/2/2020,CA,19324,113,9365,2121,23053178,117054,1245948,1245948,20759,24299126,137813,24299126,137813
12/1/2020,CA,19211,70,9049,2000,22936124,123921,1225189,1225189,12221,24161313,136142,24161313,136142
11/30/2020,CA,19141,20,8578,1919,22812203,203636,1212968,1212968,14034,24025171,217670,24025171,217670
11/29/2020,CA,19121,32,8198,1823,22608567,218705,1198934,1198934,15614,23807501,234319,23807501,234319
11/28/2020,CA,19089,56,7684,1763,22389862,245268,1183320,1183320,11996,23573182,257264,23573182,257264
11/27/2020,CA,19033,54,7388,1726,22144594,206538,1171324,1171324,12635,23315918,219173,23315918,219173
11/26/2020,CA,18979,104,7197,1617,21938056,171754,1158689,1158689,14640,23096745,186394,23096745,186394
11/25/2020,CA,18875,106,7049,1551,21766302,150638,1144049,1144049,18350,22910351,168988,22910351,168988
11/24/2020,CA,18769,43,6641,1514,21615664,268490,1125699,1125699,15329,22741363,283819,22741363,283819
11/23/2020,CA,18726,50,6254,1455,21347174,211898,1110370,1110370,8337,22457544,220235,22457544,220235
11/22/2020,CA,18676,33,5918,1390,21135276,251158,1102033,1102033,14319,22237309,265477,22237309,265477
11/21/2020,CA,18643,86,5745,1332,20884118,225839,1087714,1087714,15442,21971832,241281,21971832,241281
11/20/2020,CA,18557,91,5497,1332,20658279,165018,1072272,1072272,13005,21730551,178023,21730551,178023
11/19/2020,CA,18466,106,5319,1253,20493261,122507,1059267,1059267,11478,21552528,133985,21552528,133985
11/18/2020,CA,18360,61,5078,1258,20370754,149656,1047789,1047789,9811,21418543,159467,21418543,159467
11/17/2020,CA,18299,36,4885,1206,20221098,181439,1037978,1037978,8743,21259076,190182,21259076,190182
11/16/2020,CA,18263,10,4559,1131,20039659,192219,1029235,1029235,9890,21068894,202109,21068894,202109
11/15/2020,CA,18253,35,4454,1094,19847440,184221,1019345,1019345,10968,20866785,195189,20866785,195189
11/14/2020,CA,18218,81,4212,1024,19663219,183221,1008377,1008377,9875,20671596,193096,20671596,193096
11/13/2020,CA,18137,29,4138,1031,19479998,129535,998502,998502,6893,20478500,136428,20478500,136428
11/12/2020,CA,18108,38,4002,1010,19350463,113052,991609,991609,6927,20342072,119979,20342072,119979
11/11/2020,CA,18070,69,3987,1006,19237411,119988,984682,984682,7464,20222093,127452,20222093,127452
11/10/2020,CA,18001,24,3799,984,19117423,170795,977218,977218,5367,20094641,176162,20094641,176162
11/9/2020,CA,17977,14,3668,941,18946628,186639,971851,971851,7212,19918479,193851,19918479,193851
11/8/2020,CA,17963,24,3554,910,18759989,151795,964639,964639,7682,19724628,159477,19724628,159477
11/7/2020,CA,17939,73,3456,901,18608194,162939,956957,956957,5863,19565151,168802,19565151,168802
11/6/2020,CA,17866,51,3489,923,18445255,123468,951094,951094,6518,19396349,129986,19396349,129986
11/5/2020,CA,17815,63,3462,922,18321787,80785,944576,944576,4566,19266363,85351,19266363,85351
11/4/2020,CA,17752,66,3410,901,18241002,100753,940010,940010,5338,19181012,106091,19181012,106091
11/3/2020,CA,17686,14,3270,840,18140249,158376,934672,934672,4044,19074921,162420,19074921,162420
